normalized_name,canonical_name,object_count_in_king_episodes,is_background_object,is_story_relevant_candidate
thick blue ice,Thick Blue Ice,14,False,False
sail cloth,Sail Cloth,14,False,False
rune,Rune,14,False,False
waterfall,Waterfall,14,False,False
towering mesa,Towering Mesa,14,False,False
sand dune,Sand Dune,14,False,False
white cloth,White Cloth,14,False,False
wooden bench,Wooden Bench,14,False,False
golden plate,Golden Plate,14,False,False
earth,Earth,14,False,False
mushroom,Mushroom,14,False,False
medicine,Medicine,14,False,False
cement,Cement,14,False,False
bulb,Bulb,14,False,False
gardening equipment,Gardening Equipment,14,False,False
dirty rug,Dirty Rug,14,False,False
pitcher of water,Pitcher Of Water,14,False,False
turquoise color water,Turquoise Color Water,14,False,False
gem,Gem,14,False,True
mermaid,Mermaid,14,False,False
thing,Thing,14,False,False
bookshelf,Bookshelf,14,False,False
little wooden stools,Little Wooden Stools,14,False,False
computer,Computer,14,False,False
body parts,Body Parts,14,False,False
drawbridge to the castle,Drawbridge To The Castle,14,False,False
napkin,Napkin,14,False,False
dense fog,Dense Fog,14,False,False
graveyard,Graveyard,14,False,False
candle holder,Candle Holder,14,False,False
cell phone,Cell Phone,14,False,False
temple of the gods,Temple Of The Gods,14,False,False
temple entrance,Temple Entrance,14,False,False
weaponry,Weaponry,14,False,False
ornate altar,Ornate Altar,14,False,False
block and tackle,Block And Tackle,14,False,False
mine cart,Mine Cart,14,False,False
bible,Bible,14,False,False
herb garden,Herb Garden,14,False,False
horseshoe,Horseshoe,14,False,False
high grass,High Grass,14,False,False
old bicycle,Old Bicycle,14,False,False
personalized tomb,Personalized Tomb,14,False,False
carved statue,Carved Statue,14,False,False
tombs,Tombs,14,False,False
pirate,Pirate,14,False,False
beach house,Beach House,14,False,False
jug of water,Jug Of Water,14,False,False
small decrepit graveyard,Small Decrepit Graveyard,14,False,False
shutter,Shutter,14,False,False
torture rack,Torture Rack,14,False,False
buildings,Buildings,14,False,False
hitching post,Hitching Post,14,False,False
hut,Hut,14,False,False
religious text,Religious Text,14,False,False
wooden bar,Wooden Bar,14,False,False
tent,Tent,14,False,False
campfire,Campfire,14,False,False
bowl of fruit,Bowl Of Fruit,14,False,False
path to the old mine,Path To The Old Mine,14,False,False
pick,Pick,14,False,False
block,Block,14,False,False
timber,Timber,14,False,False
fog,Fog,14,False,False
trees,Trees,14,False,False
cooking instrument,Cooking Instrument,14,False,False
cooking instruments of every type,Cooking Instruments Of Every Type,14,False,False
serving platter,Serving Platter,14,False,False
screen,Screen,14,False,False
ornate statue,Ornate Statue,14,False,False
huge statue,Huge Statue,14,False,False
insect,Insect,14,False,False
ware,Ware,14,False,False
talisman,Talisman,14,False,False
barrel of salted herring,Barrel Of Salted Herring,14,False,False
fishing net,Fishing Net,14,False,False
dune,Dune,14,False,False
beam,Beam,14,False,False
ornate throne,Ornate Throne,14,False,True
banquet,Banquet,14,False,False
leaking roof,Leaking Roof,14,False,False
hole,Hole,14,False,False
it's door,It'S Door,14,False,False
outside temple,Outside Temple,14,False,False
fluid,Fluid,14,False,False
elderberry,Elderberry,14,False,False
ornate desk,Ornate Desk,14,False,False
bottle of sacramental wine,Bottle Of Sacramental Wine,14,False,False
bookshelves,Bookshelves,14,False,False
small vine,Small Vine,14,False,False
public bath,Public Bath,14,False,False
sweetmeat,Sweetmeat,14,False,False
rough clothing,Rough Clothing,14,False,False
roasting meat,Roasting Meat,14,False,False
steel statue,Steel Statue,14,False,False
royal coat of arms,Royal Coat Of Arms,14,False,False
sword on the wall,Sword On The Wall,14,False,True
back row seat,Back Row Seat,14,False,False
kneeler,Kneeler,14,False,False
set,Set,14,False,False
food trough,Food Trough,14,False,False
cupboard,Cupboard,14,False,False
counter,Counter,14,False,False
stone oven,Stone Oven,14,False,False
other tools,Other Tools,14,False,False
huge oven,Huge Oven,14,False,False
ingredient,Ingredient,14,False,False
pole,Pole,14,False,False
amethyst,Amethyst,14,False,False
letter,Letter,14,False,True
tray,Tray,14,False,False
stained glass art of old,Stained Glass Art Of Old,14,False,False
bibles,Bibles,14,False,False
small burning candle,Small Burning Candle,14,False,False
chandlier,Chandlier,14,False,False
fireplace,Fireplace,14,True,False
bassinet,Bassinet,14,False,False
dead body,Dead Body,14,False,False
pool of blood,Pool Of Blood,14,False,False
chunks of raw meat,Chunks Of Raw Meat,14,False,False
long wooden table,Long Wooden Table,14,False,False
instruments of torture,Instruments Of Torture,14,False,False
stone craving,Stone Craving,14,False,False
gallows,Gallows,14,False,False
sail,Sail,14,False,False
blacksmith's hammer,Blacksmith'S Hammer,14,False,False
oak door,Oak Door,14,False,False
sheer screen,Sheer Screen,14,False,False
confessional,Confessional,14,False,False
booth,Booth,14,False,False
baptism pool,Baptism Pool,14,False,False
roof,Roof,14,False,False
big organ,Big Organ,14,False,False
gold trim,Gold Trim,14,False,True
frost window,Frost Window,14,False,False
worshipper,Worshipper,14,False,False
huge frost window,Huge Frost Window,14,False,False
targets,Targets,14,False,False
land,Land,14,False,False
river,River,14,False,False
gurgling water,Gurgling Water,14,False,False
bright colored curtains,Bright Colored Curtains,14,False,False
floor decor,Floor Decor,14,False,False
wooden boat part,Wooden Boat Part,14,False,False
dresser,Dresser,14,False,False
woven blue rug,Woven Blue Rug,14,False,False
worn quilt,Worn Quilt,14,False,False
wooden bed,Wooden Bed,14,False,False
work of art,Work Of Art,14,False,False
large ornate carpet,Large Ornate Carpet,14,False,False
gunpowder,Gunpowder,14,False,False
small crucifix,Small Crucifix,14,False,False
vulture,Vulture,14,False,False
black soil,Black Soil,14,False,False
mold,Mold,14,False,False
front porch,Front Porch,14,False,False
shingle,Shingle,14,False,False
door to the shack,Door To The Shack,14,False,False
door frame,Door Frame,14,False,False
roof of the shack,Roof Of The Shack,14,False,False
broken glass,Broken Glass,14,False,False
clear air,Clear Air,14,False,False
bottles,Bottles,14,False,False
filth from kingdom,Filth From Kingdom,14,False,False
inkwell,Inkwell,14,False,False
branches,Branches,14,False,False
feed,Feed,14,False,False
merchandise,Merchandise,14,False,False
grey stone,Grey Stone,14,False,False
well-equipped kitchen,Well-Equipped Kitchen,14,False,False
bar counter,Bar Counter,14,False,False
secret,Secret,14,False,False
cells,Cells,14,False,False
portal for evil to access,Portal For Evil To Access,14,False,False
rare wood from a tree that doesn't exist anymore,Rare Wood From A Tree That Doesn'T Exist Anymore,14,False,False
molten magma,Molten Magma,14,False,False
vial,Vial,14,False,False
piece of old sun-bleached sailcloth,Piece Of Old Sun-Bleached Sailcloth,14,False,False
cutting board,Cutting Board,14,False,False
stained wooden troughs,Stained Wooden Troughs,14,False,False
old sun-bleached sailcloth,Old Sun-Bleached Sailcloth,14,False,False
money register,Money Register,14,False,False
washing board,Washing Board,14,False,False
candy shop,Candy Shop,14,False,False
general store,General Store,14,False,False
rusty anchor,Rusty Anchor,14,False,False
open grave,Open Grave,14,False,False
jukebox,Jukebox,14,False,False
black rock,Black Rock,14,False,False
igneous rock,Igneous Rock,14,False,False
sink,Sink,14,False,False
supply,Supply,14,False,False
bed pan,Bed Pan,14,False,False
homeless,Homeless,14,False,False
loft,Loft,14,False,False
farming equipment,Farming Equipment,14,False,False
ladder,Ladder,14,False,False
fresh red paint,Fresh Red Paint,14,False,False
coconut,Coconut,14,False,False
banana,Banana,14,False,False
empty fish tank,Empty Fish Tank,14,False,False
coinpurse,Coinpurse,13,False,False
pic axe,Pic Axe,13,False,False
cane,Cane,13,False,False
rake,Rake,12,False,False
root,Root,12,False,False
costumes,Costumes,12,False,False
bait buckets,Bait Buckets,12,False,False
large table with an ordinate cushion for the king's crown,Large Table With An Ordinate Cushion For The King'S Crown,12,False,True
pot for cooking,Pot For Cooking,12,False,False
shirt,Shirt,12,False,False
silk,Silk,12,False,False
potion supplies,Potion Supplies,11,False,True
wand,Wand,11,False,False
spellbook,Spellbook,11,False,False
carcass,Carcass,11,False,False
out house,Out House,11,False,False
mug of mead,Mug Of Mead,11,False,False
bag of herbs,Bag Of Herbs,11,False,False
broken lantern,Broken Lantern,11,False,False
towel,Towel,10,False,False
ancient magical crystal that was found in the heart of a mystical dragon,Ancient Magical Crystal That Was Found In The Heart Of A Mystical Dragon,10,False,False
handle,Handle,9,False,False
kettle,Kettle,9,False,False
lilypad,Lilypad,8,False,False
pitchforks and scythes,Pitchforks And Scythes,8,False,False
tropical birds,Tropical Birds,8,False,False
cash box,Cash Box,8,False,False
plant-life,Plant-Life,8,False,False
pitch fork,Pitch Fork,8,False,False
empty gruel bowl,Empty Gruel Bowl,8,False,False
cargo,Cargo,8,False,False
chisel,Chisel,8,False,False
hymn book,Hymn Book,7,False,True
puppet,Puppet,7,False,False
vegetation,Vegetation,7,False,False
rotted wood timber,Rotted Wood Timber,7,False,False
silver incense burner,Silver Incense Burner,7,False,False
sorcerer's orb,Sorcerer'S Orb,7,False,False
porcelain vase,Porcelain Vase,7,False,False
coins,Coins,7,False,True
mudpit,Mudpit,7,False,False
trident,Trident,7,False,False
coal,Coal,6,False,False
skillet,Skillet,6,False,False
fishing hook,Fishing Hook,6,False,False
purse,Purse,6,False,False
paintbrush,Paintbrush,6,False,False
ritual dagger,Ritual Dagger,5,False,True
sack,Sack,5,False,False
cuff,Cuff,5,False,False
old bible,Old Bible,5,False,False
jug that holds the wine the servants fill glasses with,Jug That Holds The Wine The Servants Fill Glasses With,5,False,False
lye soap,Lye Soap,5,False,False
diary,Diary,5,False,False
cheese,Cheese,4,False,False
firewood,Firewood,4,False,False
cursed amulet,Cursed Amulet,4,False,False
king's crown,King'S Crown,4,False,True
scuba gear,Scuba Gear,4,False,False
bottle,Bottle,4,False,False
painting and work of art,Painting And Work Of Art,4,False,False
ritual knife,Ritual Knife,4,False,True
beer,Beer,3,False,False
icicle,Icicle,3,False,False
sewing supplies,Sewing Supplies,2,False,False
pitcher,Pitcher,2,False,False
message in a bottle,Message In A Bottle,2,False,False
ale bottle,Ale Bottle,2,False,False
charcoal,Charcoal,2,False,False
bread,Bread,1,False,False
food item,Food Item,1,False,False
uniform,Uniform,1,False,False
handkerchief,Handkerchief,1,False,False
seed,Seed,1,False,False
trash bin,Trash Bin,1,False,False
family photo,Family Photo,1,False,False
scrolls,Scrolls,1,False,False
rope belt,Rope Belt,1,False,False
